year,session,code,unit,max_mark,UMS_100,A*,A,B,C,D,E
2023,January,FM03,FURTHER MATHS UNIT 3 (FP2),120,112,100,88,76,64,53,42
2023,January,FM04,FURTHER MATHS UNIT 4 (FS2),80,70,62,54,46,39,32,25
2023,January,FM05,FURTHER MATHS UNIT 5 (FM2),80,72,65,58,51,44,37,30
2023,January,GG01A,GEOGRAPHY UNIT 1 OPTION A,80,63,,49,42,35,28,21
2023,January,GG02,GEOGRAPHY UNIT 2,80,68,,52,44,37,30,23
2023,January,GG03,GEOGRAPHY UNIT 3,80,75,66,57,48,39,30,22
2023,January,GG04,GEOGRAPHY UNIT 4,80,77,68,59,50,41,32,24
2023,January,GG05,GEOGRAPHY UNIT 5,60,53,47,41,35,29,23,18
2023,January,LT01,ENGLISH LITERATURE UNIT 1,50,42,,32,27,22,17,12
2023,January,LT02,ENGLISH LITERATURE UNIT 2,50,42,,32,27,22,17,13
2023,January,MA01,MATHS UNIT 1 (P1),80,74,,58,50,42,34,27
2023,January,MA02,MATHS UNIT 2 (PSM1),80,76,,60,52,44,37,30
2023,January,MA03,MATHS UNIT 3 (P2),120,114,102,90,78,67,56,45
2023,January,MA04,MATHS UNIT 4 (S2),80,77,69,61,53,45,37,30
2023,January,MA05,MATHS UNIT 5 (M2),80,76,68,60,52,44,36,29
2023,January,PH01,PHYSICS UNIT 1,80,57,,47,42,37,32,27
2023,January,PH02,PHYSICS UNIT 2,80,63,,51,45,39,33,28
2023,January,PH03,PHYSICS UNIT 3,80,58,53,48,43,38,33,28
2023,January,PH04,PHYSICS UNIT 4,80,64,58,52,46,40,34,29
2023,January,PH05,PHYSICS UNIT 5,80,62,56,50,44,38,33,28
2023,January,PS01,PSYCHOLOGY UNIT 1,90,75,,59,51,43,36,29
2023,January,PS02,PSYCHOLOGY UNIT 2,90,83,,65,56,47,39,31
2023,January,PS03,PSYCHOLOGY UNIT 3,90,81,72,63,54,45,36,28
2023,January,PS04,PSYCHOLOGY UNIT 4,90,82,72,62,52,43,34,25
2022,June,BL01,BIOLOGY UNIT 1,75,60,,48,42,36,30,25
2022,June,BL02,BIOLOGY UNIT 2,75,55,,45,40,35,30,25
2022,June,BL03,BIOLOGY UNIT 3,75,58,52,46,40,35,30,25
2022,June,BL04,BIOLOGY UNIT 4,75,54,49,44,39,35,31,27
2022,June,BL05,BIOLOGY UNIT 5,75,54,49,44,39,35,31,27
2022,June,BU01,BUSINESS UNIT 1,80,70,,56,49,42,35,29
2022,June,BU02,BUSINESS UNIT 2,80,68,,54,47,41,35,29
2022,June,BU03,BUSINESS UNIT 3,80,77,69,61,53,45,37,29
2022,June,BU04,BUSINESS UNIT 4,80,77,69,61,53,45,37,30
2022,June,CH01,CHEMISTRY UNIT 1,70,66,,52,45,38,32,26
2022,June,CH02,CHEMISTRY UNIT 2,70,66,,52,45,38,32,26
2022,June,CH03,CHEMISTRY UNIT 3,80,72,64,56,48,40,33,26
2022,June,CH04,CHEMISTRY UNIT 4,80,71,63,55,47,39,31,23
2022,June,CH05,CHEMISTRY UNIT 5,60,55,49,43,37,32,27,22
2022,June,EC01,ECONOMICS UNIT 1,80,76,,58,49,41,33,25
2022,June,EC02,ECONOMICS UNIT 2,80,75,,59,51,43,35,28
2022,June,EC03,ECONOMICS UNIT 3,90,84,75,66,57,49,41,33
2022,June,EC04,ECONOMICS UNIT 4,90,85,76,67,58,49,41,33
2022,June,EN01,ENGLISH LANGUAGE UNIT 1,50,49,,39,34,29,24,19
2022,June,EN02,ENGLISH LANGUAGE UNIT 2,50,46,,36,31,26,22,18
2022,June,EN03,ENGLISH LANGUAGE UNIT 3,50,48,43,38,33,28,23,19
2022,June,EN04A,ENGLISH LANGUAGE UNIT 4A,50,48,43,38,33,28,23,19
2022,June,EN04B,ENGLISH LANGUAGE UNIT 4B,50,48,43,38,33,28,23,19
2022,June,FM01,FURTHER MATHS UNIT 1 (FP1),80,75,,59,51,43,35,28
2022,June,FM02,FURTHER MATHS UNIT 2 (FPSM1),80,75,,59,51,43,36,29
2022,June,FM03,FURTHER MATHS UNIT 3 (FP2),120,112,100,88,76,64,53,42
2022,June,FM04,FURTHER MATHS UNIT 4 (FS2),80,70,62,54,46,39,32,25
2022,June,FM05,FURTHER MATHS UNIT 5 (FM2),80,72,65,58,51,44,37,30
2022,June,GG01A,GEOGRAPHY UNIT 1 OPTION A,80,63,,49,42,35,28,21
2022,June,GG01B,GEOGRAPHY UNIT 1 OPTION B,80,63,,49,42,35,28,21
2022,June,GG02,GEOGRAPHY UNIT 2,80,68,,52,44,37,30,23
2022,June,GG03,GEOGRAPHY UNIT 3,80,75,66,57,48,39,30,22
2022,June,GG04,GEOGRAPHY UNIT 4,80,77,68,59,50,41,32,24
2022,June,GG05,GEOGRAPHY UNIT 5,80,53,47,41,35,29,23,18
2022,June,LT01,ENGLISH LITERATURE UNIT 1,50,42,,32,27,22,17,12
2022,June,LT02,ENGLISH LITERATURE UNIT 2,50,42,,32,27,22,17,13
2022,June,LT03,ENGLISH LITERATURE UNIT 3,50,46,41,36,31,26,22,18
2022,June,LT04A,ENGLISH LITERATURE UNIT 4A,50,48,43,38,33,28,23,18
2022,June,LT04B,ENGLISH LITERATURE UNIT 4B,50,48,43,38,33,28,23,18
2022,June,MA01,MATHS UNIT 1 (P1),80,74,,58,50,42,34,27
2022,June,MA02,MATHS UNIT 2 (PSM1),80,76,,60,52,44,37,30
2022,June,MA03,MATHS UNIT 3 (P2),120,114,102,90,78,67,56,45
2022,June,MA04,MATHS UNIT 4 (S2),80,77,69,61,53,45,37,30
2022,June,MA05,MATHS UNIT 5 (M2),80,76,68,60,52,44,36,29
2022,June,PH01,PHYSICS UNIT 1,80,57,,47,42,37,32,27
2022,June,PH02,PHYSICS UNIT 2,80,63,,51,45,39,33,28
2022,June,PH03,PHYSICS UNIT 3,80,58,53,48,43,38,33,30
2022,June,PH04,PHYSICS UNIT 4,80,64,58,52,46,40,34,29
2022,June,PH05,PHYSICS UNIT 5,80,64,58,52,46,40,35,30
2022,June,PS01,PSYCHOLOGY UNIT 1,90,75,,59,51,43,36,29
2022,June,PS02,PSYCHOLOGY UNIT 2,90,83,,65,56,47,39,31
2022,June,PS03,PSYCHOLOGY UNIT 3,90,81,72,63,54,45,36,28
2022,June,PS04,PSYCHOLOGY UNIT 4,90,82,72,62,52,43,34,25
2022,January,BL01,BIOLOGY UNIT 1,75,60,,48,42,36,30,25
2022,January,BL02,BIOLOGY UNIT 2,75,55,,45,40,35,30,25
2022,January,BL03,BIOLOGY UNIT 3,75,58,52,46,40,35,30,25
2022,January,BL04,BIOLOGY UNIT 4,75,54,49,44,39,35,31,27
2022,January,BL05,BIOLOGY UNIT 5,75,54,49,44,39,35,31,27
2022,January,BU01,BUSINESS UNIT 1,80,70,,56,49,42,35,29
2022,January,BU02,BUSINESS UNIT 2,80,68,,54,47,41,35,29
2022,January,BU03,BUSINESS UNIT 3,80,77,69,61,53,45,37,30
2022,January,BU04,BUSINESS UNIT 4,80,77,69,61,53,45,37,30
2022,January,CH01,CHEMISTRY UNIT 1,70,66,,52,45,38,32,26
2022,January,CH02,CHEMISTRY UNIT 2,70,66,,52,45,38,32,26
2022,January,CH03,CHEMISTRY UNIT 3,80,72,64,56,48,40,33,26
2022,January,CH04,CHEMISTRY UNIT 4,80,71,63,55,47,39,31,23
2022,January,CH05,CHEMISTRY UNIT 5,60,55,49,43,37,32,27,22
2022,January,EC01,ECONOMICS UNIT 1,80,75,,59,51,43,35,28
2022,January,EC02,ECONOMICS UNIT 2,80,75,,59,51,43,35,28
2022,January,EN01,ENGLISH LANGUAGE UNIT 1,50,49,,39,34,29,24,19
2022,January,EN02,ENGLISH LANGUAGE UNIT 2,50,46,,36,31,26,22,18
2022,January,EN03,ENGLISH LANGUAGE UNIT 3,50,48,43,38,33,28,23,19
2022,January,FM01,FURTHER MATHS UNIT 1 (FP1),80,75,,59,51,43,35,28
2022,January,FM02,FURTHER MATHS UNIT 2 (FPSM1),80,75,,59,51,43,36,29
2022,January,FM03,FURTHER MATHS UNIT 3 (FP2),120,112,100,88,76,64,53,42
2022,January,FM04,FURTHER MATHS UNIT 4 (FS2),80,70,62,54,46,39,32,25
2022,January,FM05,FURTHER MATHS UNIT 5 (FM2),80,72,65,58,51,44,37,30
2022,January,GG01A,GEOGRAPHY UNIT 1 OPTION A,80,63,,49,42,35,28,22
2022,January,GG02,GEOGRAPHY UNIT 2,80,66,,52,45,38,31,24
2022,January,LT01,ENGLISH LITERATURE UNIT 1,50,45,,33,27,22,17,12
2022,January,MA01,MATHS UNIT 1 (P1),80,74,,58,50,42,34,27
2022,January,MA02,MATHS UNIT 2 (PSM1),80,76,,60,52,44,37,30
2022,January,MA03,MATHS UNIT 3 (P2),120,114,102,90,78,67,56,45
2022,January,MA04,MATHS UNIT 4 (S2),80,77,69,61,53,45,37,30
2022,January,MA05,MATHS UNIT 5 (M2),80,76,68,60,52,44,36,29
2022,January,PH01,PHYSICS UNIT 1,80,57,,47,42,37,32,27
2022,January,PH02,PHYSICS UNIT 2,80,63,,51,45,39,33,28
2022,January,PH03,PHYSICS UNIT 3,80,58,53,48,43,38,33,28
2022,January,PH04,PHYSICS UNIT 4,80,64,58,52,46,40,34,29
2022,January,PH05,PHYSICS UNIT 5,80,64,58,52,46,40,35,30
2022,January,PS01,PSYCHOLOGY UNIT 1,90,75,,59,51,43,36,29
2022,January,PS02,PSYCHOLOGY UNIT 2,90,84,,66,57,48,39,31
2022,January,PS03,PSYCHOLOGY UNIT 3,90,86,76,66,56,46,37,28
2022,January,PS04,PSYCHOLOGY UNIT 4,90,86,76,66,56,46,36,26
2021,January,BL01,BIOLOGY UNIT 1,75,62,,50,44,38,32,27
2021,January,BL02,BIOLOGY UNIT 2,75,56,,46,41,36,31,26
2021,January,BL03,BIOLOGY UNIT 3,75,55,50,45,40,35,30,25
2021,January,BL04,BIOLOGY UNIT 4,75,55,50,45,40,35,30,26
2021,January,BL05,BIOLOGY UNIT 5,75,55,50,45,40,36,32,28
2021,January,BU01,BUSINESS UNIT 1,80,71,,55,47,40,33,26
2021,January,BU02,BUSINESS UNIT 2,80,67,,53,46,39,32,26
2021,January,BU03,BUSINESS UNIT 3,80,77,68,59,50,41,33,25
2021,January,BU04,BUSINESS UNIT 4,80,77,68,59,50,41,33,25
2021,January,CH01,CHEMISTRY UNIT 1,70,65,,51,44,37,30,24
2021,January,CH02,CHEMISTRY UNIT 2,70,65,,51,44,37,31,25
2021,January,CH03,CHEMISTRY UNIT 3,80,72,64,56,48,40,32,24
2021,January,CH04,CHEMISTRY UNIT 4,80,73,64,55,46,38,30,22
2021,January,CH05,CHEMISTRY UNIT 5,60,55,49,43,37,31,26,21
2021,January,EN01,ENGLISH LANGUAGE UNIT 1,50,48,,38,33,28,23,18
2021,January,EN02,ENGLISH LANGUAGE UNIT 2,50,45,,35,30,25,21,17
2021,January,EN03,ENGLISH LANGUAGE UNIT 3,50,47,42,37,32,27,22,18
2021,January,EN04A,ENGLISH LANGUAGE UNIT 4A,50,47,42,37,32,27,22,18
2021,January,FM01,FURTHER MATHS UNIT 1 (FP1),80,75,,59,51,43,35,27
2021,January,FM02,FURTHER MATHS UNIT 2 (FPSM1),80,78,,60,51,43,35,27
2021,January,FM03,FURTHER MATHS UNIT 3 (FP2),120,114,101,88,75,62,49,37
2021,January,FM04,FURTHER MATHS UNIT 4 (FS2),80,72,64,56,48,40,32,24
2021,January,FM05,FURTHER MATHS UNIT 5 (FM2),80,76,68,60,52,44,36,28
2021,January,GG01A,GEOGRAPHY UNIT 1 OPTION A,80,62,,48,41,34,27,20
2021,January,GG01B,GEOGRAPHY UNIT 1 OPTION B,80,62,,48,41,34,27,20
2021,January,GG02,GEOGRAPHY UNIT 2,80,64,,50,43,36,29,22
2021,January,LT01,ENGLISH LITERATURE UNIT 1,50,44,,32,26,21,16,11
2021,January,LT02,ENGLISH LITERATURE UNIT 2,50,44,,32,26,21,16,11
2021,January,MA01,MATHS UNIT 1 (P1),80,76,,58,49,40,31,23
2021,January,MA02,MATHS UNIT 2 (PSM1),80,75,,59,51,43,35,27
2021,January,MA03,MATHS UNIT 3 (P2),120,116,103,90,77,64,52,40
2021,January,MA04,MATHS UNIT 4 (S2),80,76,68,60,52,44,36,29
2021,January,MA05,MATHS UNIT 5 (M2),80,78,70,62,54,46,38,30
2021,January,PH01,PHYSICS UNIT 1,80,58,,48,43,38,33,28
2021,January,PH02,PHYSICS UNIT 2,80,64,,52,46,40,34,29
2021,January,PH03,PHYSICS UNIT 3,80,59,54,49,44,39,34,29
2021,January,PH04,PHYSICS UNIT 4,80,67,60,53,46,40,34,28
2021,January,PH05,PHYSICS UNIT 5,80,64,58,52,46,40,35,30
2021,January,PS01,PSYCHOLOGY UNIT 1,90,75,,59,51,43,35,27
2021,January,PS02,PSYCHOLOGY UNIT 2,90,83,,65,56,47,38,29
2021,January,PS03,PSYCHOLOGY UNIT 3,90,86,76,66,56,46,37,28
2021,January,PS04,PSYCHOLOGY UNIT 4,90,85,75,65,55,45,35,26
2020,January,BL01,BIOLOGY UNIT 1,75,60,,48,42,36,31,26
2020,January,BL02,BIOLOGY UNIT 2,75,58,,48,43,38,33,28
2020,January,BL03,BIOLOGY UNIT 3,75,59,54,49,44,39,34,30
2020,January,BL04,BIOLOGY UNIT 4,75,57,52,47,42,37,33,29
2020,January,BL05,BIOLOGY UNIT 5,75,55,51,47,43,39,35,31
2020,January,BU01,BUSINESS UNIT 1,80,72,,58,51,44,37,31
2020,January,BU02,BUSINESS UNIT 2,80,73,,59,52,45,38,31
2020,January,CH01,CHEMISTRY UNIT 1,70,69,,55,48,41,35,29
2020,January,CH02,CHEMISTRY UNIT 2,70,69,,55,48,42,36,30
2020,January,CH03,CHEMISTRY UNIT 3,80,76,68,60,52,44,36,29
2020,January,CH04,CHEMISTRY UNIT 4,80,75,67,59,51,43,35,28
2020,January,CH05,CHEMISTRY UNIT 5,60,58,52,46,40,34,29,24
2020,January,EN01,ENGLISH LANGUAGE UNIT 1,50,50,,40,35,30,25,20
2020,January,EN02,ENGLISH LANGUAGE UNIT 2,50,47,,37,32,27,23,19
2020,January,EN03,ENGLISH LANGUAGE UNIT 3,50,50,45,40,35,30,25,20
2020,January,EN04A,ENGLISH LANGUAGE UNIT 4A,50,50,45,40,35,30,25,20
2020,January,FM01,FURTHER MATHS UNIT 1 (FP1),80,80,,63,54,46,38,30
2020,January,FM02,FURTHER MATHS UNIT 2 (FPSM1),80,80,,64,55,46,38,30
2020,January,FM03,FURTHER MATHS UNIT 3 (FP2),120,116,104,92,80,68,57,46
2020,January,FM04,FURTHER MATHS UNIT 4 (FS2),80,74,66,58,50,42,34,27
2020,January,FM05,FURTHER MATHS UNIT 5 (FM2),80,78,70,62,54,46,39,32
2020,January,GG01B,GEOGRAPHY UNIT 1 OPTION B,80,65,,51,44,38,32,26
2020,January,LT01,ENGLISH LITERATURE UNIT 1,50,47,,35,29,24,19,14
2020,January,LT02,ENGLISH LITERATURE UNIT 2,50,44,,34,29,24,19,15
2020,January,MA01,MATHS UNIT 1 (P1),80,79,,61,52,44,36,28
2020,January,MA02,MATHS UNIT 2 (PSM1),80,77,,59,50,41,33,25
2020,January,MA03,MATHS UNIT 3 (P2),120,118,106,94,82,70,59,48
2020,January,MA04,MATHS UNIT 4 (S2),80,80,72,64,56,48,40,32
2020,January,MA05,MATHS UNIT 5 (M2),80,79,71,63,55,47,39,31
2020,January,PH01,PHYSICS UNIT 1,80,63,,51,45,40,35,30
2020,January,PH02,PHYSICS UNIT 2,80,66,,54,48,42,36,31
2020,January,PH03,PHYSICS UNIT 3,80,61,56,51,46,41,36,31
2020,January,PH04,PHYSICS UNIT 4,80,67,61,55,49,43,37,32
2020,January,PH05,PHYSICS UNIT 5,80,67,61,55,49,43,38,33
2020,January,PS01,PSYCHOLOGY UNIT 1,90,73,,59,52,45,38,32
2020,January,PS02,PSYCHOLOGY UNIT 2,90,86,,68,59,50,42,34
2019,June,BL01,BIOLOGY UNIT 1,75,63,,51,45,39,33,28
2019,June,BL02,BIOLOGY UNIT 2,75,58,,48,43,38,33,28
2019,June,BL03,BIOLOGY UNIT 3,75,58,53,48,43,38,33,29
2019,June,BL04,BIOLOGY UNIT 4,75,57,52,47,42,37,33,29
2019,June,BL05,BIOLOGY UNIT 5,75,55,51,47,43,39,35,31
2019,June,BU01,BUSINESS UNIT 1,80,73,,59,52,45,38,32
2019,June,BU02,BUSINESS UNIT 2,80,71,,57,50,43,37,31
2019,June,CH01,CHEMISTRY UNIT 1,70,69,,55,48,41,35,29
2019,June,CH02,CHEMISTRY UNIT 2,70,69,,55,48,41,35,29
2019,June,CH03,CHEMISTRY UNIT 3,80,76,68,60,52,44,36,29
2019,June,CH04,CHEMISTRY UNIT 4,80,75,67,59,51,43,35,27
2019,June,CH05,CHEMISTRY UNIT 5,60,58,52,46,40,34,29,24
2019,June,EN01,ENGLISH LANGUAGE UNIT 1,50,50,,40,35,30,25,20
2019,June,EN02,ENGLISH LANGUAGE UNIT 2,50,47,,37,32,27,23,19
2019,June,FM01,FURTHER MATHS UNIT 1 (FP1),80,80,,64,55,46,38,30
2019,June,FM02,FURTHER MATHS UNIT 2 (FPSM1),80,80,,64,55,46,38,30
2019,June,FM03,FURTHER MATHS UNIT 3 (FP2),120,119,107,95,82,70,58,46
2019,June,FM04,FURTHER MATHS UNIT 4 (FS2),80,74,66,58,50,42,34,27
2019,June,FM05,FURTHER MATHS UNIT 5 (FM2),80,79,71,63,55,47,39,32
2019,June,GG01B,GEOGRAPHY UNIT 1 OPTION B,80,65,,51,44,38,32,26
2019,June,GG02,GEOGRAPHY UNIT 2,80,68,,54,47,40,34,28
2019,June,LT01,ENGLISH LITERATURE UNIT 1,50,47,,35,29,24,19,14
2019,June,LT02,ENGLISH LITERATURE UNIT 2,50,44,,34,29,24,19,15
2019,June,LT03,ENGLISH LITERATURE UNIT 3,50,50,45,40,35,30,25,20
2019,June,LT04A,ENGLISH LITERATURE UNIT 4A,50,50,45,40,35,30,25,20
2019,June,MA01,MATHS UNIT 1 (P1),80,79,,61,52,44,36,28
2019,June,MA02,MATHS UNIT 2 (PSM1),80,79,,63,55,47,39,31
2019,June,MA03,MATHS UNIT 3 (P2),120,119,107,95,83,71,59,48
2019,June,MA04,MATHS UNIT 4 (S2),80,80,72,64,56,48,40,32
2019,June,MA05,MATHS UNIT 5 (M2),80,79,71,63,55,47,39,31
2019,June,PH01,PHYSICS UNIT 1,80,60,,50,45,40,35,30
2019,June,PH02,PHYSICS UNIT 2,80,66,,54,48,42,36,31
2019,June,PH03,PHYSICS UNIT 3,80,61,56,51,46,41,36,31
2019,June,PH04,PHYSICS UNIT 4,80,67,61,55,49,43,37,32
2019,June,PH05,PHYSICS UNIT 5,80,67,61,55,49,43,38,33
2019,June,PS01,PSYCHOLOGY UNIT 1,90,79,,63,55,47,40,33
2019,June,PS02,PSYCHOLOGY UNIT 2,90,88,,70,61,52,43,34
2019,January,BL01,BIOLOGY UNIT 1,75,63,,51,45,39,34,29
2019,January,BL02,BIOLOGY UNIT 2,75,58,,48,43,38,33,28
2019,January,BL03,BIOLOGY UNIT 3,75,58,53,48,43,38,33,29
2019,January,CH01,CHEMISTRY UNIT 1,70,68,,54,47,40,34,28
2019,January,CH02,CHEMISTRY UNIT 2,70,68,,54,47,40,34,28
2019,January,CH03,CHEMISTRY UNIT 3,80,79,70,61,51,41,32,23
2019,January,CH04,CHEMISTRY UNIT 4,80,77,68,59,50,42,34,26
2019,January,CH05,CHEMISTRY UNIT 5,60,56,50,44,38,32,26,21
2019,January,EN01,ENGLISH LANGUAGE UNIT 1,50,50,,40,35,30,25,20
2019,January,EN02,ENGLISH LANGUAGE UNIT 2,50,50,,40,35,30,25,20
2019,January,FM01,FURTHER MATHS UNIT 1 (FP1),80,80,,64,55,46,38,30
2019,January,FM02,FURTHER MATHS UNIT 2 (FPSM1),80,78,,62,54,46,38,30
2019,January,MA01,MATHS UNIT 1 (P1),80,80,,64,55,46,37,29
2019,January,MA02,MATHS UNIT 2 (PSM1),80,80,,64,55,46,38,30
2019,January,PH01,PHYSICS UNIT 1,80,63,,51,45,39,34,29
2019,January,PH02,PHYSICS UNIT 2,80,69,,55,48,42,36,30
2019,January,PH03,PHYSICS UNIT 3,80,62,56,50,44,39,34,29
2019,January,PH04,PHYSICS UNIT 4,80,63,57,51,45,39,34,29
2019,January,PH05,PHYSICS UNIT 5,80,62,56,50,44,38,33,28
2018,June,BL01,BIOLOGY UNIT 1,75,75,,52,46,40,34,28
2018,June,BL02,BIOLOGY UNIT 2,75,75,,48,43,38,33,28
2018,June,BL03,BIOLOGY UNIT 3,75,75,53,48,43,38,33,29
2018,June,BL04,BIOLOGY UNIT 4,75,75,53,48,43,38,34,30
2018,June,BL05,BIOLOGY UNIT 5,75,75,49,44,39,35,31,27
2018,June,CH01,CHEMISTRY UNIT 1,70,70,,54,47,40,34,28
2018,June,CH02,CHEMISTRY UNIT 2,70,70,,54,47,40,34,28
2018,June,CH03,CHEMISTRY UNIT 3,80,80,69,60,51,42,34,26
2018,June,CH04,CHEMISTRY UNIT 4,80,80,68,59,50,42,34,26
2018,June,CH05,CHEMISTRY UNIT 5,60,60,52,46,40,34,28,23
2018,June,EN01,ENGLISH LANGUAGE UNIT 1,50,50,,40,35,30,25,20
2018,June,EN02,ENGLISH LANGUAGE UNIT 2,50,50,,37,32,27,23,19
2018,June,FM01,FURTHER MATHS UNIT 1 (FP1),80,80,,64,55,46,38,30
2018,June,FM02,FURTHER MATHS UNIT 2 (FPSM1),80,80,,63,54,46,38,30
2018,June,LT01,ENGLISH LITERATURE UNIT 1,50,50,,35,29,24,19,14
2018,June,LT02,ENGLISH LITERATURE UNIT 2,50,50,,34,29,24,19,15
2018,June,MA01,MATHS UNIT 1 (P1),80,80,,64,55,46,37,29
2018,June,MA02,MATHS UNIT 2 (PSM1),80,80,,64,55,47,39,31
2018,June,PH01,PHYSICS UNIT 1,80,80,,50,44,39,34,29
2018,June,PH02,PHYSICS UNIT 2,80,80,,54,48,42,36,30
2018,June,PH03,PHYSICS UNIT 3,80,80,56,50,44,38,33,28
2018,June,PH04,PHYSICS UNIT 4,80,80,57,51,45,39,33,28
2018,June,PH05,PHYSICS UNIT 5,80,80,55,49,43,37,32,27
2018,January,BL02,INTERNATIONAL AS BIOLOGY UNIT,75,75,,48,43,38,33,28
2018,January,CH01,INTERNATIONAL AS CHEMISTRY UNIT,70,70,,53,46,39,33,27
2018,January,CH02,INTERNATIONAL AS CHEMISTRY UNIT,70,70,,52,45,38,32,26
2018,January,PH01,INTERNATIONAL AS PHYSICS UNIT,80,80,,51,45,39,34,29
2018,January,PH02,INTERNATIONAL AS PHYSICS UNIT,80,80,,53,47,41,35,30

